[Artist Name],[Artist style Trained?],[Midjourney (prompt: artwork by <artist full name>)],[Midjourney (prompt: portrait of a person by <artist full name> --ar 2:3)],[Midjourney (prompt: environment design by <artist full name> --ar 16:9)],[extra example],"Author Specific prompt [first column for prompt, second for image] (author speciality)",
Darrell K. Sweet,Yes,,,,,,
Darrell Riche,NO,,,,,,
Dave Allsop,NO,,,,,,
Dave Arredondo,NO,,,,,,
Dave Dorman,Yes,,,,,,
Dave Gibbons,Yes,,,,,,
Dave Kendall,NO,,,,,,
Dave McKean,Yes,,,,,,
Dave Melvin,NO,,,,,,
Dave Sim,Yes,,,,,,
Dave Stevens,Yes,,,,,,
David A Hardy,Yes,,,,,,
David A. Trampier,NO,,,,,,
David Alabo,NO,,,,,,
David B. Mattingly,Yes,,,,,,
David Burliuk,Yes,,,,,,
David C. Sutherland III,NO,,,,,,
David Firth,Yes,,,,,,
David Hockney,Yes,,,,,,
David Lazar,NO,,,,,,
David Martin,NO,,,,,,
David Milne,Yes,,,,,,
David Porter,NO,,,,,,
Dean Cornwell,Yes,,,,,,
Dean Ellis,Yes,,,,,,
Dean Motter,Yes,,,,,,
Delaunay,Yes,,,,,,
Denis Maurice,NO,,,,,,
Denis Peterson,NO,,,,,,
Dennis Wojtkiewicz,NO,,,,,,
Desertwave,NO,,,,,,
Di-Li Feng,NO,,,,,,
Diane Arbus,Yes,,,,,,
Diane Dillon,Yes,,,,,,
Dick Bickenbach,?,,,,,,
Diego Gisbert Llorens,NO,,,,,,
Diego Koi,NO,,,,,,
Diego Rivera,Yes,,,,, ,
Diego Velazquez,Yes,,,,,,
Diego Velázquez,Yes,,,,,,
Dirk Dzimirsky,NO,,,,,,
Djlu,NO,,,,,,
Domenico Campagnola,NO,,,,,,
Doménikos Theotokopoulos,NO,,,,,,
Domirinic Fegallia,NO,,,,,,
Don Bluth,Yes,,,,,,
Don Hertzfeld,Yes,,,,,a film by...,
Don Maitz,Yes,,,,,,
Don Rosa,Yes,,,,,,
Donald Judd,Yes,,,,,,
Donatello,Yes,,,,,,
Donato Giancola,Yes,,,,,,
Dora Maar,Yes,,,,,,
Doris Clare Zinkeisen,NO,,,,,,
Dorothea Tanning,Yes,,,,,,
Dorothy Hood,NO,,,,,,
Dorothy Lathrop,Yes,,,,,,
Doug Chiang,NO,,,,,,
Doug Wildey,NO,,,,,,
Douglas Melini,NO,,,,,,
Douglas Shuler,NO,,,,,,
Dr. Seuss,Yes,,,,,,
Dr. Suess,Yes,,,,,,
Dragan Malešević Tapi,NO,,,,,,
Drew Struzan,Yes,,,,,,
Drew Tucker,NO,,,,,,
Duccio Da Buoninsegna,NO,,,,,,
Duccio Di Buoninsegna,Yes,,,,,,
Dustin Nguyen,Yes,,,,,,
E. Simms Campbell,NO,,,,,,
E.H. Shepard,Yes,,,,,,
Earl Norem,Yes,,,,,,
Earle Bergey,NO,,,,,,
Earnst Haeckel,Yes,,,,,,
Ed Binkley,Yes,,,,,,
Ed Emshwiller,Yes,,,,,,
Ed Roth,Yes,,,,,,
Eddie Campbell,Yes,,,,,,
Eddie Mendoza,NO,,,,,,
Edgar Degas,Yes,,,,,,
Edmund Dulac,Yes,,,,,,
Edmund F. Ward,NO,,,,,,
Edmund Leighton,Yes,,,,,,
