[Artist Name],[Artist style Trained?],[Midjourney (prompt: artwork by <artist full name>)],[Midjourney (prompt: portrait of a person by <artist full name> --ar 2:3)],[Midjourney (prompt: environment design by <artist full name> --ar 16:9)],[extra example],"Author Specific prompt [first column for prompt, second for image] (author speciality)",
Paula Modersohn-Becker,Yes,,,,,,
Paule Vezelay,NO,,,,,,
Paulus Decker,NO,,,,,,
Pavel Filonov,NO,,,,,,
Peder Severin Kroyer,Yes,,,,,,
Pedro Campos,NO,,,,,,
Pemex,NO,,,,,,
Pendleton Ward,Yes,,,,,,
Penny Patricia Poppycock,NO,,,,,,
Peter Andrew Jones,Yes,,,,,,
Peter Arnoud Bensen,NO,,,,,,
Peter Bagge,Yes,,,,,,
Peter Blake,Yes,,,,,,
Peter Elson,Yes,,,,,,
Peter Fiore,NO,,,,,,
Peter Gric,Yes,,,,,,
Peter Helck,NO,,,,,,
Peter Lindbergh,Yes,,,,,,
Peter Madsen,NO,,,,,,
Peter Max,Yes,,,,,,
Peter Mohrbacher,Yes,,,,,,
Peter Paul Rubens,Yes,,,,,,
Peter Phillips,NO,,,,,,
Peter Rockwell,NO,,,,,,
Peter Zumthor,Yes,,,,,,
Petros Afshar,NO,,,,,,
Phil Borges,NO,,,,,,
Phil Foglio,Yes,,,,,,
Philip Guston,Yes,,,,,,
Philip Leslie Hale,NO,,,,,,
Philipp Otto Runge,Yes,,,,,,
Philipp Urlich,NO,,,,,,
Philippe Caza,Yes,,,,,,
Philippe Druillet,Yes,,,,,,
Pia Fries,NO,,,,,,
Piero Della Francesca,Yes,,,,,,
Pierre Bonnard,Yes,,,,,,
Pierre Dubois,NO,,,,,,
Pierre Mion,NO,,,,,,
Pierre Puvis De Chavannes,Yes,,,,,,
Pierre-Auguste Renoir,Yes,,,,,,
Piet Mondrian,Yes,,,,,,
Pieter Aertsen,Yes,,,,,,
Pieter Bruegel,Yes,,,,,,
Pieter Bruegel the Elder,Yes,,,,,,
Pieter Brueghel The Younger,Yes,,,,,,
Pieter Claesz,Yes,,,,,,
Pieter De Hooch,Yes,,,,,,
Pieter Jansz Saenredam,NO,,,,,,
Pieter Laurens Mol,NO,,,,,,
Pink Hanamori,NO,,,,,,
Piper Thibodeau,Yes,,,,,,
Pixar,Yes,,,,,,
Pixelkitties,Yes,,,,,,
Pontormo,Yes,,,,,,
Prateep Kochabua,NO,,,,,,
Q Hayashida,NO,,,,,,
Qian Xuan,NO,,,,,,
Qu Leilei,NO,,,,,,
Quentin Blake,Yes,,,,,,
R.O. Blechman,NO,,,,,,
Rafal Olbinski,Yes,,,,,,
Raffaello Ossola,NO,,,,,,
Raffaello Sanzio,NO,,,,,,
Raffaello Sanzio Da Urbino,Yes,,,,,,
Raffeaello Ossola,NO,,,,,,
Raja Ravi Varma,Yes,,,,,,
Ralph Bakshi,Yes,,,,,,
Ralph Horsley,NO,,,,,,
Ralph McQuarrie,Yes,,,,,,
Ralph Steadman,Yes,,,,,,
Randolph Caldecott,Yes,,,,,,
Randy Vargas,NO,,,,,,
Raphael,Yes,,,,,,
Raphael Lacoste,Yes,,,,,,
Raphaelite,NO,,,,,,
Rashed Alakroka,NO,,,,,,
Ray Caesar,Yes,,,,,,
Raymond Briggs,Yes,,,,,,
Raymond Swanland,Yes,,,,,,
Rebecca Guay,Yes,,,,,,
Rebecca Sugar,Yes,,,,,character design by ...,
Reginald Richard Redford,NO,,,,,,
Regis Loisel,NO,,,,,,
Rei Hiroe,NO,,,,,,
rei17,NO,,,,,,
Reine Hibiki,NO,,,,,,
Rellakinoko,NO,,,,,,
Rembrandt,Yes,,,,,,
Rembrandt van Rijn,Yes,,,,,,
Remedios Varo,Yes,,,,,,
Ren Xun,NO,,,,,,
René Goscinny,NO,,,,,,
Rene Magritte,Yes,,,,,,
Reuben Nakian,NO,,,,,,
Reylia Slaby,Yes,,,,,,
RHADS,Yes,,,,,,
Ric Estrada,NO,,,,,,
Rica Takashima,NO,,,,,,
Richard Corben,Yes,,,,,,
Richard Dadd,Yes,,,,,,
Richard Diebenkorn,Yes,,,,,,
Richard Doyle,Yes,,,,,,
Richard Hamilton,Yes,,,,,,
Richard Hescox,Yes,,,,,,
Richard Hess,NO,,,,,,
Richard Kane Ferguson,NO,,,,,,
Richard Lindner,Yes,,,,,,
Richard Powers,Yes,,,,,,
Richard Rockwell,NO,,,,,,
Richard Scarry,Yes,,,,,,
Richard Warren Pousette-Dart,Yes,,,,,,
Richard Wentworth,NO,,,,,,
Rick Griffin,NO,,,,,,
Rick Guidice,Yes,,,,,,
Ridley Scott,Yes,,,,,,
Rinko Ueda,NO,,,,,,
Rino Fujii,NO,,,,,,
Riusuke Fukahori,NO,,,,,,
Rob Alexander,NO,,,,,,
Rob Gonsalves,Yes,,,,,,
Rob Liefeld,Yes,,,,,,
Robert Antoine Pinchon,NO,,,,,,
Robert Beatty,NO,,,,,,
Robert Bechtle,Yes,,,,,,
Robert Crumb,Yes,,,,,,
Robert Delaunay,Yes,,,,,,
Robert Fawcett,NO,,,,,,
Robert Indiana,Yes,,,,,,
Robert M. Cunningham,NO,,,,,,
Robert Maguire,NO,,,,,,
Robert McCall,Yes,,,,,,
Robert Mcginnis,Yes,,,,,,
Robert Motherwell,Yes,,,,,,
Robert Peak,NO,,,,,,
Robert Rauschenberg,Yes,,,,,,
Robert Weaver,NO,,,,,,
Robert Williams,Yes,,,,,,
Roberto Crippa,NO,,,,,,
Roberto Da Matta,Yes,,,,,,
Roberto Ferri,Yes,,,,,,
Roberto Matta,Yes,,,,,,
Robico,NO,,,, ,,
Rockwell Kent,Yes,,,,,,
Rodel Gonzalez,NO,,,,,,
Rodney Durso,Yes,,,,,,
Rodney Matthews,Yes,,,,,,
Roger Ballen,Yes,,,,,,
Roger Dean,Yes,,,,,,
Roger Van Der Weyden,Yes,,,,,,
Rogier Van Der Weyden,Yes,,,,,,
Roland Chanco,NO,,,,,,
Roland Sabatier,NO,,,,,,
Roland Topor,Yes,,,,,,
Rolf Armstrong,Yes,,,,,,
Ron English,Yes,,,,,,
Ron Spears,NO,,,,,,
Ron Walotsky,Yes,,,,,,
Rose Maynard Barton,NO,,,,,,
Ross Tran,Yes,,,,,,
Rosso Fiorentino,Yes,,,,,,
Rowena Morrill,Yes,,,,,,
Roy Lichtenstein,Yes,,,,,,
Roz Chast,Yes,,,,,,
Ruan Jia,Yes,,,,,,
Ruan Jian,NO,,,,,,
Rube Goldberg,Yes,,,,,,
Rudolf Hausner,NO,,,,,,
Rudolph Belarski,NO,,,,,,
Rufino Tamayo,Yes,,,,,,
Rumiko Takahashi,Yes,,,,,,
Russ Mills,Yes,,,,,,
Russell Patterson,NO,,,,,,
Ruth Bernhard,Yes,,,,,,
Ruth Deckard,NO,,,,,,
Ruth Sanderson,NO,,,,,,
Ruysdael,Yes,,,,,,
Ryan Hewett,Yes,,,,,,
Ryan Pancoast,NO,,,,,,
Ryan Yee,NO,,,,,,
Ryohei Hase,Yes,,,,,,
Ryusuke Hamamoto,NO,,,,,,
Sailor Moon,Yes,,,,,,
Sakura Tsukuba,NO,,,,,,
Sal Buscema,Yes,,,,,,
Sally Mann,Yes,,,,,,
Salvador Dali,Yes,,,,,,
Salvador Dalí,Yes,,,,,,
Sam Bosma,NO,,,,,,
Sam Guay,Yes,,,,,,
Sam Mayle,NO,,,,,,
Sam Spratt,Yes,,,,,,
Sanda Iliescu,NO,,,,,,
Sandra Chevrier,Yes,,,,,,
Sandro Botticelli,Yes,,,,,,
Sandy Skoglund,Yes,,,,,,
Sangryun Park,NO,,,,,,
Santiago Caruso,Yes,,,,,,
Sara Bichao,NO,,,,,,
Sarah Gough Adamson,NO,,,,,,
Sarah Ilinitchna Stern,NO,,,,,,
Sarah Morris,Yes,,,,,,
Sarrita King,NO,,,,,,
Satoshi Kon,Yes,,,,,,
Saul Bass,Yes,,,,,,
Saul Steinberg,Yes,,,,,,
Saul Tepper,Yes,,,,,,
Seb McKinnon,NO,,,,,,
Sebastiano Ricci,Yes,,,,,,
Seishi Kishimoto,NO,,,,,,
Sekihiko Inui,NO,,,,,,
Serge Charchoune,NO,,,,,,
Sergio Aragones,Yes,,,,,,
Sergio Toppi,Yes,,,,,,
Seth Michael Forman,NO,,,,,,
Shaddy Safadi,NO,,,,,,
Shaun Tan,Yes,,,,,,
Sheikh Hamdullah,NO,,,,,,
Sheilah Beckett,NO,,,,,,
Shekhar Gurera,NO,,,,,,
Shepard Fairey,Yes,,,,,,
Shepherd0821,NO,,,,,,
Sherree Valentine Daines,Yes,,,,,,
Shiki,NO,,,,,,
Shinchiro Watanabe,NO,,,,,,
Shinji Aramaki,Yes,,,,,,
Shintaro Kago,Yes,,,,,,
Shizuru Hayashiya,NO,,,,,,
Shohei Harumoto,NO,,,,,,
Shotaro Ishinomori,Yes,,,,,,
Shungiku Nakamura,NO,,,,,,
Shusei Nagaoka,Yes,,,,,,
Sidney Nolan,Yes,,,,,,
Sidney Prior Hall,NO,,,,,,
Simon Bisley,Yes,,,,,,
Simon Hennessey,NO,,,,,,
Simon Stalenhag,Yes,,,,,,
Simone Martini,Yes,,,,,,
Sir James Guthrie,Yes,,,,,,
Sir John Tenniel,Yes,,,,,,
Sir Peter Paul Rubens,Yes,,,,,,
Slawomir Maniak,NO,,,,,,
Slim Aarons,Yes,,,,,,
Sofonisba Anguissola,Yes,,,,,,
Sonia Delaunay,Yes,,,,,,
Sophie Anderson,Yes,,,,,,
Sophie Koko Gate,NO,,,,,,
Sophie Milner,NO,,,,,,
SorcerusHorserus,NO,,,,,,
Sparth,NO,,,,,,
Stan And Jan Berenstain,Yes,,,,,,
Stan Galli,NO,,,,,,
Stanisław Wyspiański,Yes,,,,,,
Stanley Donwood,Yes,,,,,,
Stanley Spencer,Yes,,,,,,
Stanley William Hayter,Yes,,,,,,
Stefan Gesell,Yes,,,,,,
Stephan Martiniere,Yes,,,,,,
Stephanie Law,Yes,,,,,,
Stephen Gammell,Yes,,,,,,
Stephen Hillenburg,Yes,,,,,,
Stevan Dohanos,NO,,,,,,
Steve Argyle,Yes,,,,,,
Steve Brodner,NO,,,,,,
Steve Dillon,Yes,,,,,,
Steve Ditko,Yes,,,,,,
Steve Englehart,Yes,,,,,,
Steve Mccurry,Yes,,,,,,
Steve Prescott,NO,,,,,,
Steve Rude,Yes,,,,,,
Steven Belledin,NO,,,,,,
Steven Cox,NO,,,,,,
Steven Daluz,NO,,,,,,
Steven James Petruccio,NO,,,,,,
Storm Thorgerson,Yes,,,,,,
Stuart Davis,Yes,,,,,,
Studio Ghibli,Yes,,,,,,
Suh Seung Won,NO,,,,,,
Sui Ishida,Yes,,,,,,
Sunil Das,NO,,,,,,
Susan Heidi,NO,,,,,,
Suzanne Valadon,Yes,,,,,,
Sven Nordqvist,NO,,,,,,
Svetlin Velinov,NO,,,,,,
Syd Mead,Yes,,,,,,
Sydney Prior Hall,NO,,,,,,
Sylvain Sarrailh,NO,,,,,,
Szymon Biernacki,Yes,,,,,,
Tachibana Higuchi,NO,,,,,,
Taiyō Matsumoto,NO,,,,,,
Takasaki Masaharu,NO,,,,,,
Takashi Hashiguchi,NO,,,,,,
Takashi Murakami,Yes,,,,,,
Takashi Okazaki,NO,,,,,,
Takato Yamamoto,Yes,,,,,,
Takehiko Inoue,Yes,,,,,,
Takeshi Obata,Yes,,,,,,
Tamara De Lempicka,Yes,,,,,,
Tamara Lempicka,Yes,,,,,,
TaniDaReal,Yes,,,,,,
Taravat Jalali Farahani,NO,,,,,,
Tardi,Yes,,,,,,
Taro Okamoto,Yes,,,,,,
Tatsuro Kiuchi,Yes,,,,,,
Tatsuya Hiruta,NO,,,,,,
Tatsuyuki Tanaka,NO,,,,,,
Ted Degrazia,Yes,,,,,,
Ted Nasmith,Yes,,,,,,
Terada Katsuya,Yes,,,,,,
Teresa Fasolino,NO,,,,,,
Terese Nielsen,NO,,,,,,
Terry Oakes,Yes,,,,,,
Terry Redlin,Yes,,,,,,
Tex Avery,Yes,,,,,,
Themistokles von Eckenbrecher,NO,,,,,,
Theodor de Bry,Yes,,,,,,
Theodore Clement Steele,Yes,,,,,,
Théodore Géricault,Yes,,,,,,
Theodore Robinson,Yes,,,,,,
Théodore Rousseau,NO,,,,,,
Theresa Volpp,NO,,,,,,
Thomas Arvid,NO,,,,,,
Thomas Cole,Yes,,,,,,
Thomas Crane,NO,,,,,,
Thomas Eakins,Yes,,,,,,
Thomas Fischbach,NO,,,,,,
Thomas Gainsborough,Yes,,,,,,
Thomas Häfner,NO,,,,,,
Thomas Hart Benton,Yes,,,,,,
Thomas Kinkade,Yes,,,,,,
Thomas M. Baxa,Yes,,,,,,
Thomas Nast,Yes,,,,,,
Thornton Oakley,NO,,,,,,
Thota Vaikuntham,NO,,,,,,
Tibor Nagy,NO,,,,,,
Tilt,NO,,,,,,
Tim And Greg Hildebrandt,Yes,,,,,,
Tim Bradstreet,Yes,,,,,,
Tim Burton,Yes,,,,,,
Tim Doyle,NO,,,,,,
Tim Hildebrandt,Yes,,,,,,
Tim White,Yes,,,,,,
Tintoretto,Yes,,,,,,
Tite Kubo,Yes,,,,,,
Titian,Yes,,,,,,
Titus Lunter,NO,,,,,,
Tivadar Csontváry Kosztka,NO,,,,,,
Tiziano Vecellio,NO,,,,,,
Tiziano Vecellio Di Gregorio,NO,,,,,,
Todd Lockwood,NO,,,,,,
Todd McFarlane,Yes,,,,,,
Todd Schorr,Yes,,,,,,
Tom Bagshaw,Yes,,,,,,
Tom Hammick,Yes,,,,,,
Tom Lovell,Yes,,,,,,
Tom Thomson,Yes,,,,,,
Tom Wänerstrand,NO,,,,,,
Tom Wesselmann,Yes,,,,,,
Tomak,NO,,,,,,
Tomasz Jedruszek,NO,,,,,,
Tomek Setowski,NO,,,,,,
Tomer Hanuka,Yes,,,,,,
Tomi Ungerer,Yes,,,,,,
Tommaso Masaccio,Yes,,,,,,
Tomokazu Matsuyama,Yes,,,,,,
Tony DiTerlizzi,Yes,,,,,,
Tony Roberts,Yes,,,,,,
Tony Sart,NO,,,,,,
Tooru Fujisawa,NO,,,,,,
Torres Garcia,NO,,,,,,
Toshiaki Iwashiro,NO,,,,,,
Tove Jansson,Yes,,,,,,
Travis Charest,Yes,,,,,,
Travis Louie,NO,,,,,,
Tristan Wu,NO,,,,,,
Tsampikos,NO,,,,,,
Tsubasa Fukuchi,NO,,,,,,
Tsugumi Ohba,NO,,,,,,
Tsutomu Nihei,Yes,,,,,,
Tuomas Korpi,NO,,,,,,
TwoKinds,NO,,,,,,
Tyler Edlin,NO,,,,,,
Tyler Jacobson,NO,,,,,,
Ub Iwerks,Yes,,,,,,
Ueda Fumito,NO,,,,,,
Ulrike Lienbacher,NO,,,,,,
Umberto Boccioni,?,,,,,,
Underpable,Yes,,,,,,
Ushio Shinohara,NO,,,,,,
Utagawa Kuniyoshi,Yes,,,,,,
Valentine Hugo,NO,,,,,,
Vezhdi Rashidov,NO,,,,,,
Victo Ngai,Yes,,,,,,
Victor Adame Minguez,NO,,,,,,
Victor Brauner,Yes,,,,,,
Victor Moscoso,Yes,,,,,,
Victor Mosquera,Yes,,,,,,
Victor Vasarely,Yes,,,,,,
Victoria Francés,NO,,,,,,
Viktor Vasnetsov,Yes,,,,,,
Viktoria Gavrilenko,NO,,,,,,
Vilhelm Hammershoi,Yes,,,,,,
Vincent Di Fate,NO,,,,,,
Vincent Proce,NO,,,,,,
Vincent Van Gogh,Yes,,,,,,
Vint Lawrence,NO,,,,,,
Violet Oakley,NO,,,,,,
Virgil Finlay,Yes,,,,,,
Virginia Lee Burton,NO,,,,,,
Vittore Carpaccio,Yes,,,,,,
Vittorio Giardino,Yes,,,,,,
Viviane Sassen,Yes,,,,,,
Vladimir Kush,Yes,,,,,,
Volkan Baga,NO,,,,,,
W. Heath Robinson,Yes,,,,,,
Wally Wood,Yes,,,,,,
Walt Disney,Yes,,,,,,
Walt Simonson,Yes,,,,,,
Walter Beach Humphrey,NO,,,,,,
Walter Crane,Yes,,,,,,
Walter Langley,Yes,,,,,,
Walter Percy Day,NO,,,,,,
Walther Jervolino,NO,,,,,,
Warren Mahy,NO,,,,,,
Warwick Goble,Yes,,,,,,
Wassily Kandinsky,Yes,,,,,,
Wayne Barlowe,Yes,,,,,,
Wayne England,NO,,,,,,
Wayne Thiebaud,Yes,,,,,,
Wedha Abdul Rasyid,NO,,,,,,
Weiwei,NO,,,,,,
Wenceslaus Hollar,Yes,,,,,,
Wendell Minor,NO,,,,,,
Wendy Froud,Yes,,,,,,
Wenjun Lin,NO,,,,,,
Wes Anderson,Yes,,,,,,
Wes Wilson,NO,,,,,,
Wifredo Lam,Yes,,,,,,
Wilfredo Lam,Yes,,,,,,
Wilhelm Maria Hubertus Leibl,NO,,,,,,
Wilhelm Von Kaulbach,NO,,,,,,
Wilhelm Von Kobell,NO,,,,,,
Will Eisner,Yes,,,,,,
Will Ryman,NO,,,,,,
Willard Leroy Metcalf,Yes,,,,,,
Willard Mullin,NO,,,,,,
Willem de Kooning,Yes,,,,,,
Willem van Haecht,Yes,,,,,,
Willem van Veldhuizen,NO,,,,,,
William Adolphe Bouguereau,Yes,,,,,,
William Blake,Yes,,,,,,
William Finlayson,NO,,,,,,
William Gropper,Yes,,,,,,
William Henry Hunt,Yes,,,,,,
William Hogarth,Yes,,,,,,
William Holman Hunt,Yes,,,,,,
William Logsdail,NO,,,,,,
William Mctaggart,Yes,,,,,,
William Merritt Chase,Yes,,,,,,
William Michael Harnett,Yes,,,,,,
William Morris,Yes,,,,,,
William Pogany,Yes,,,,,,
William S Burroughs,Yes,,,,,,
William Steig,Yes,,,,,,
William Stout,Yes,,,,,,
William Turner,Yes,,,,,,
William-Adolphe Bouguereau,Yes,,,,,,
Willian Murai,NO,,,,,,
Winona Nelson,NO,,,,,,
Winslow Homer,Yes,,,,,,
Winsor Mccay,Yes,,,,,,
WLOP,NO,,,,,,
Wojciech Siudmak,NO,,,,,,
Wolfy Nail,NO,,,,,,
Wylie Beckert,NO,,,,,,
Yaacov Agam,Yes,,,,,,
Yana Toboso,NO,,,,,,
Yanjun Cheng,Yes,,,,,,
Yasar Vurdem,NO,,,,,,
Yasuhiro Nightow,NO,,,,,,
Yasutomo Oka,NO,,,,,,
Yayoi Kusama,Yes,,,,,,
Yeong-Hao Han,NO,,,,,,
Yevgeny Khaldei,NO,,,,,,
Yiannis Moralis,Yes,,,,,,
Yoji Shinkawa,Yes,,,,,,
Yoshihiro Togashi,Yes,,,,,,
Yoshiki Nakamura,NO,,,,,,
Yoshitaka Amano,Yes,,,,,,
Yoshitomo Nara,NO,,,,,,
Yoshitoshi Abe,NO,,,,,,
Youko Hanabusa,NO,,,,,,
Yue Minjun,NO,,,,,,
Yukari Higa,NO,,,,,,
Yukiru Sugisaki,NO,,,,,,
Yuko Tatsushima,NO,,,,,,
Yumi Hotta,NO,,,,,,
Yumihiko Amano,NO,,,,,,
Yuri Ivanovich Pimenov,NO,,,,,,
Yusuke Murata,Yes,,,,,,
Yuumei,Yes,,,,,,
Yves Klein,Yes,,,,,,
Yves Tanguay,Yes,,,,,,
Yves Tanguy,Yes,,,,,,
Zacharias Martin Aagaard,NO,,,,,,
Zack Snyder,Yes,,,,,,
Zaha Hadid,Yes,,,,,,
Zaria Forman,Yes,,,,,,
Zdzislaw Beksinski,Yes,,,,,,
Zdzisław Beksiński,Yes,,,,,,
Zhang Jingna,Yes,,,,,,
Zhang Zeduan,NO,,,,,,
Zhichao Cai,NO,,,,,,
Zoltan Boros,NO,,,,,,
Rosa Bonheur,Yes,,,,,,
Theophile Steinlen,Yes,,,,,,
Boris Kustodiev,Yes,,,,,,
Konstantin Makovsky,Yes,,,,,,
Marie Laurencin,Yes,,,,,,
Niki de Saint Phalle,Yes,,,,,,
Patrick Demarchelier,Yes,,,,,,
Alice Bailly,Yes,,,,,,
Alma Woodsey Thomas,Yes,,,,,,
Alois Arnegger,Yes,,,,,,
Margaret Keane,Yes,,,,,,
Margaret Olley,Yes,,,,,,
Margaret Preston,Yes,,,,,,
Maria Lassnig,Yes,,,,,,
Marianne Breslauer,Yes,,,,,,
Marianne Stokes,Yes,,,,,,
Marie Bashkirtseff,Yes,,,,,,
Marie Severin,Yes,,,,,,
Marie Spartali Stillman,Yes,,,,,,
Marjorie Miller,Yes,,,,,,
Mary Anning,Yes,,,,,,
Mary Bradish Titcomb,Yes,,,,,,
Mary Ellen Mark,Yes,,,,,,
Mary Fedden,Yes,,,,,,
Nora Heysen,Yes,,,,,,
Norah McGuinness,NO,,,,,,
Pegi Nicol MacLeod,Yes,,,,,,
Edgard Maxence,Yes,,,,,,
Gustav-Adolf Mossa,Yes,,,,,,
Paul Sérusier,Yes,,,,,,
Paula Rego,Yes,,,,,,
Alphonse Osbert,Yes,,,,,,
Armand Point,NO,,,,,,
Charles-Marie Dulac,NO,,,,,,
Eugene Carriere,Yes,,,,,,
Gaston La Touche,Yes,,,,,,
Trigger Studio,?,,,,,,
Disney,?,,,,,,
DreamWorks,?,,,,,,
Nickelodeon,?,,,,,,
Toei Animation,?,?,,,,,
Warner Bros,?,,,,,,
Cartoon Network,?,,,,,,
Madhouse,?,,,,,,
Studio Bones,?,,,,,,
Kyoto Animation,?,,,,,,
Wit Studio,?,,,,,,
MAPPA Studio,?,,,,,,
Sunrise Studio,?,,,,,,
Ufotable,?,,,,,,
Studio Pierrot,Yes,,,,,,
Production I.G,?,,,,,,
Studio Trigger,?,,,,,,
P.A.Works,?,,,,,,
J.C.Staff,?,,,,,,
,?,,,,,,
loish,,,,,,,
