[Artist Name],[Artist style Trained?],[Midjourney (prompt: artwork by <artist full name>)],[Midjourney (prompt: portrait of a person by <artist full name> --ar 2:3)],[Midjourney (prompt: environment design by <artist full name> --ar 3:2)]
Bruce Munro,Yes,,,
Bruce Nauman,Yes,,,
Bruce Pennington,Yes,,,
Bruce Timm,Yes,,,
Bruce Weber,Yes,,,
Bruno Munari,Yes,,,
Bruno Walpoth,Yes,,,
Bryan Lee O'Malley,?,,,
Buckminster Fuller,Yes,,,
Buff Monster,Yes,,,
Bunny Yeager,Yes,,,
Burt Glinn,Yes,,,
Butcher Billy,Yes,,,
C215,Yes,,,
Cai Guo-Qiang,Yes,,,
Caitlin Hackett,Yes,,,
Callie Fink,Yes,,,
Calvin Klein,Yes,,,
Camilla d'Errico,Yes,,,
Camille Claudel,Yes,,,
Camille Corot,Yes,,,
Camille Pissarro,Yes,,,
Camille Rose Garcia,Yes,,,
Camille Walala,Yes,,,
Canaletto,Yes,,,
Candido Portinari,Yes,,,
Caravaggio,Yes,,,
Carl Andre,Yes,,,
Carl Barks,Yes,,,
Carl Faberge,Yes,,,
Carl Gustav Carus,Yes,,,
Carl Holsoe,Yes,,,
Carl Kleiner,Yes,,,
Carl Larsson,Yes,,,
Carl Spitzweg,Yes,,,
Carl Theodor Dreyer,Yes,,,
Carleton Watkins,Yes,,,
Carlo Crivelli,Yes,,,
Carlos Cruz-Diez,Yes,,,
Carmine Infantino,Yes,,,
Carne Griffiths,Yes,,,
Carol Hagan,Yes,,,
Carolee Schneemann,Yes,,,
Carolina Herrera,Yes,,,
Carrie Mae Weems,Yes,,,
Casey Cripe,NO,,,
Caspar David Friedrich,Yes,,,
Catherine Opie,Yes,,,
Catrin Welz-Stein,Yes,,,
Cecil Aldin,Yes,,,
Cecil Beaton,Yes,,,
Cecily Brown,Yes,,,
Cerith Wyn Evans,Yes,,,
cgsociety,NO,,,
Chaim Soutine,Yes,,,
Chantal Joffe,Yes,,,
Charles Addams,Yes,,,
Charles Angrand,Yes,,,
Charles Blackman,Yes,,,
Charles Burns,Yes,,,
Charles Camoin,Yes,,,
Charles Conder,Yes,,,
Charles Dana Gibson,Yes,,,
Charles Demuth,Yes,,,
Charles E. Burchfield,Yes,,,
Charles Eames,Yes,,,
Charles Hinman,Yes,,,
Charles Rennie Mackintosh,Yes,,,
Charles Schulz,Yes,,,
Charles Sheeler,Yes,,,
Charles Vess,Yes,,,
Charles-François Daubigny,Yes,,,
Charles-Marie Dulac,Yes,,,
Charley Harper,Yes,,,
Charlie Bowater,NO,,,
Charlotte Perriand,Yes,,,
Chema Madoz,Yes,,,
Chesley Bonestell,Yes,,,
Chick Tract,Yes,,,
Chiharu Shiota,Yes,,,
Chiho Aoshima,Yes,,,
Childe Hassam,Yes,,,
Choi Jeong-hwa,Yes,,,
Chris Bachalo,Yes,,,
Chris Burkard,Yes,,,
Chris Cunningham,Yes,,,
Chris Foss,Yes,,,
Chris Marker,Yes,,,
Chris Mars,NO,,,
Chris Moore,Yes,,,
Chris Ofili,Yes,,,
Chris Rallis,NO,,,
Chris Ryniak,Yes,,,
Chris Ware,Yes,,,
Christian Boltanski,Yes,,,
Christian Lacroix,Yes,,,
Christian Louboutin,Yes,,,
Christian Marclay,Yes,,,
Christian Riese Lassen,Yes,,,
Christian Schad,Yes,,,
Christo,Yes,,,
Christoffer Relander,Yes,,,
Christoph Niemann,Yes,,,
Christophe Vacher,Yes,,,
Christopher Bucklow,Yes,,,
Christopher Richard Wynne Nevinson,Yes,,,
Christopher Wool,Yes,,,
Christopher Wren,Yes,,,
Chuck Close,Yes,,,
Chuck Jones,Yes,,,
Chuck Sperry,Yes,,,
Cicely Mary Barker,Yes,,,
Cimabue,Yes,,,
Cindy Sherman,Yes,,,
Claes Oldenburg,Yes,,,
CLAMP,Yes,,,
Clara Peeters,Yes,,,
Clarence H. White,Yes,,,
Clarence Holbrook Carter,Yes,,,
Claude Cahun,Yes,,,
Claude Lorrain,Yes,,,
Claude Monet,Yes,,,
Cleve Gray,Yes,,,
Clyde Caldwell,Yes,,,
Clyfford Still,Yes,,,
Coby Whitmore,Yes,,,
Codex Seraphinianus,Yes,,,
Coles Phillips,Yes,,,
Colin Hay,NO,,,
Colin McCahon,Yes,,,
Collier Schorr,Yes,,,
Conrad Roset,Yes,,,
Constantin Brancusi,Yes,,,
Cornelia Parker,Yes,,,
Cornelis Bisschop,NO,,,
Cornelis Boel,NO,,,
Cornelis Galle the Elder,NO,,,
Cory Loftis,NO,,,
Craig Davison,Yes,,,
Craig Mullins,Yes,,,
Cristobal Balenciaga,Yes,,,
Cuno Amiet,Yes,,,
Curt Swan,Yes,,,
Cy Twombly,Yes,,,
Cynthia Sheppard,?,,,
Cyrus Cuneo,Yes,,,
Dada Nari,NO,,,
Daidō Moriyama,Yes,,,
Dale Chihuly,Yes,,,
Damien Hirst,Yes,,,
Dan Colen,Yes,,,
Dan Flavin,Yes,,,
Dan Hillier,Yes,,,
Dan Matutina,Yes,,,
Dan McPharlin,Yes,,,
Dan Mumford,Yes,,,
Dan Seagrave,Yes,,,
Daniel Arsham,Yes,,,
Daniel Buren,Yes,,,
Daniel Clowes,Yes,,,
Daniel Gerhartz,Yes,,,
Daniel Libeskind,Yes,,,
Daniel Merriam,Yes,,,
Daniel Ridgway Knight,Yes,,,
Danny Lyon,Yes,,,
Dante Gabriel Rossetti,Yes,,,
Daphne Odjig,Yes,,,
Darrell K. Sweet,Yes,,,
Darwyn Cooke,Yes,,,
Dave Dorman,Yes,,,
Dave Gibbons,Yes,,,
Dave MacDowell,Yes,,,
Dave McKean,Yes,,,
Dave Perillo,Yes,,,
Dave Sim,Yes,,,
Dave Stevens,Yes,,,
David A Hardy,Yes,,,
David Adjaye,Yes,,,
David Altmejd,Yes,,,
David B. Mattingly,?,,,
David Burliuk,Yes,,,
David Chipperfield,Yes,,,
David Firth,NO,,,
David Hockney,Yes,,,
David Inshaw,Yes,,,
David LaChapelle,Yes,,,
David Mann,Yes,,,
David Mazzucchelli,?,,,
David McKee,Yes,,,
David Milne,Yes,,,
David Shrigley,Yes,,,
David Welker,Yes,,,
David Wojnarowicz,Yes,,,
David Yarrow,Yes,,,
David Zinn,Yes,,,
Dawoud Bey,Yes,,,
Dean Cornwell,Yes,,,
Dean Ellis,Yes,,,
Dean Motter,NO,,,
Deana Lawson,Yes,,,
Derek Jarman,Yes,,,
Diane Arbus,Yes,,,
Diane Dillon,Yes,,,
Diego Rivera,Yes,,,
Diego Velazquez,Yes,,,
Dieter Rams,Yes,,,
Dirk Braeckman,Yes,,,
Do Ho Suh,Yes,,,
Don Bluth,Yes,,,
Don Hertzfeldt,Yes,,,
Don Ivan Punchatz,NO,,,
Don Maitz,Yes,,,
Don McCullin,Yes,,,
Don Rosa,Yes,,,
Donald Judd,Yes,,,
Donatello,Yes,,,
Donato Giancola,Yes,,,
Donna Karan,Yes,,,
Dora Maar,Yes,,,
Doris Salcedo,Yes,,,
Dorothea Lange,Yes,,,
Dorothea Tanning,Yes,,,
Dorothy Lathrop,Yes,,,
Dr. Seuss,Yes,,,
Drew Struzan,Yes,,,
Duane Hanson,Yes,,,
Duane Michals,Yes,,,
Duccio Di Buoninsegna,Yes,,,
Duro Olowu,Yes,,,
Dustin Nguyen,Yes,,,
E.H. Shepard,Yes,,,
Eadweard Muybridge,Yes,,,
Earl Norem,Yes,,,
Earle Bergey,Yes,,,
Ed Binkley,Yes,,,
Ed Emberley,Yes,,,
Ed Emshwiller,Yes,,,
Ed Piskor,Yes,,,
Ed Roth,Yes,,,
Eddie Campbell,Yes,,,
Edgar Degas,Yes,,,
Edgard Maxence,Yes,,,
Edmund Dulac,Yes,,,
Edmund Leighton,Yes,,,
Edouard Manet,Yes,,,
Edouard Vuillard,Yes,,,
Eduardo Kobra,Yes,,,
Eduardo Paolozzi,Yes,,,
Edvard Munch,Yes,,,
Edward Burne-Jones,Yes,,,
Edward Burtynsky,Yes,,,
Edward Curtis,Yes,,,
Edward Gorey,Yes,,,
Edward Henry Corbould,Yes,,,
Edward Hopper,Yes,,,
Edward Lear,Yes,,,
Edward Moran,Yes,,,
Edward Robert Hughes,Yes,,,
Edward Ruscha,Yes,,,
Edward Steichen,Yes,,,
Edward Weston,Yes,,,
Edwin Austin Abbey,Yes,,,
Edwin Deakin,Yes,,,
Edwin Landseer,Yes,,,
Edwin Lord Weeks,Yes,,,
Eero Saarinen,Yes,,,
Egon Schiele,Yes,,,
Eiichiro Oda,Yes,,,
Eikoh Hosoe,Yes,,,
Eileen Agar,Yes,,,
El Anatsui,Yes,,,
El Greco,Yes,,,
El Lissitzky,Yes,,,
Elaine de Kooning,Yes,,,
Elena Balbusso,Yes,,,
Elena Kalis,Yes,,,
Elia Locardi,Yes,,,
Elie Saab,Yes,,,
Elina Brotherus,Yes,,,
Elisabeth Sonrel,Yes,,,
Elizabeth Catlett,Yes,,,
Elizabeth Murray,Yes,,,
Elizabeth Shippen Green,Yes,,,
Elke Vogelsang,Yes,,,
Ellen Jewett,Yes,,,
Ellen von Unwerth,Yes,,,
Elliott Erwitt,Yes,,,
Ellsworth Kelly,Yes,,,
Elmer Bischoff,Yes,,,
Elsa Beskow,Yes,,,
Elsa von Freytag-Loringhoven,Yes,,,
Emek,Yes,,,
Emil Melmoth,NO,,,
Emil Nolde,Yes,,,
Emile Bernard,Yes,,,
Emilio Pucci,Yes,,,
Emily Carr,Yes,,,
Emmanuel Lubezki,Yes,,,
Emmanuel Shiu,Yes,,,
Emmet Gowin,Yes,,,
Emory Douglas,Yes,,,
Enki Bilal,Yes,,,
Equestria Prevails,?,,,
Erez Marom,Yes,,,
Eric Carle,Yes,,,
Eric Lacombe,Yes,,,
Erich Heckel,Yes,,,
Erik Kessels,Yes,,,
Erik Madigan Heck,Yes,,,
Erik Nitsche,Yes,,,
Erik Spiekermann,Yes,,,
Erin Hanson,Yes,,,
Ernesto Neto,Yes,,,
Ernie Barnes,Yes,,,
Ernie Bushmiller,NO,,,
Ernst Barlach,Yes,,,
Ernst Fuchs,Yes,,,
Ernst Haas,Yes,,,
Ernst Haeckel,Yes,,,
Ernst Ludwig Kirchner,Yes,,,
Erté,Yes,,,
Erwin Blumenfeld,Yes,,,
Erwin Olaf,Yes,,,
Erwin Wurm,Yes,,,
Esao Andrews,Yes,,,
Esteban Maroto,Yes,,,
Esther Pissarro,Yes,,,
Etel Adnan,Yes,,,
Ethan Van Sciver,Yes,,,
